"001","INDEX TO REGISTRATION OF DEATHS 1803-60 PHILA. PA           ","                         ","    ",
"002","EARLY OHIOANS RESIDENCES FROM LAND GRANT RECORDS            ","MAYBURT S RIEGEL         ","1976",
"003","OFFICIAL ROSTER OF SOLDIERS OF AM REV WHO LIVED OH          ","DAR OF OHIO              ","1938",
"004","ABRIDGED COMPENDUM OF AMERICAN GENEALOGY                    ","VIRKUS,FREDERICK         ","1925","36-43            "
"005","DAUGHTERS OF THE AM REV - LINEAGE TABLES                    ","D A R                    ",,"44-49/1272-1275  "
"006","LAUNCELOT GRANGER OF NEWBURY MA & SUFFIELD CT               ","GRANGER,JOHN A           ","1893",
"007","RECORDS OF OFFICERS & MEN OF NJ IN WARS 1791-1815           ","ST GAZET PUBL CO         ","1909","62-63/942        "
"008","HISTORY OF DE - PAST & PRESENT                              ","BEVAN,WILSON L           ","1929","63               "
"009","NARRATIVE & CRITICAL HISTORY OF AMERICA                     ","WINSOR,JUSTIN            ","1888","63               "
"010","DE ARCHIVES MILITARY RECORDS                                ","STAR PUB CO              ","1916","63               "
"011","WHO'S WHO IN THE REGULAR ARMY                               ","THOMAS,JOHN M            ",,"64               "
"012","HISTORICAL REGIS.& DICT.OF THE US ARMY 1789-1903            ","HEITMAN,FRANCIS B        ","1903","64               "
"013","CRITICAL DICT.OF ENG.LIT & BRIT.& AM AUTHORS                ","ALLIBON,S AUSTIN         ","1854","64               "
"014","BIOGR DICTIONARY OF CONTEMPORARY POETS                      ","AVON HOUSE               ","1938","64               "
"015","HEADS OF FAMILIES OF THE 1790 US CENSUS                     ","US GOV PRINT OFF         ","1908","65-67            "
"016","NATIONAL CYCLOPEDIA OF AMERICAN BIOGRAPHY                   ","WHITE,JAMES T &CO        ",,"68               "
"017","UNIVERSAL PRONOUNCING DICT.OF BIOG.& MYTHOLOGY              ","THOMAS,JOSEPH            ",,"69               "
"018","ENCYCLOPEDIA OF AMERICAN BIOGRAPHY                          ","DOWNS,WINFIELD S         ","1932","69-70/139-144    "
"019","AMERICAN ANCESTRY WHO SETTLED IN US BEFORE 1776             ","HUGHES,THOMAS P          ",,"71               "
"020","COLLECTIONS OF THE CT HISTORICAL SOC.                       ","CT HIST SOC              ",,"72-73            "
"021","CYCLOPEDIA OF METHODISM                                     ","SIMPSON,MATTHEW          ","1881","74               "
"022","SONS OF THE AMERICAN REV.- CA SOC                           ","LOUIS H CORNISH          ","1902","74/519           "
"023","HANDBOOK OF THE AMERICAN GENEAL                             ","VIRKUS,FREDERICK ADAMS   ",,"74               "
"024","NY TIMES                                                    ","NEWSPAPER                ",,"75-6/93-7/99-111 "
"025","CATALOG OF PUBLIC DOCUMENTS                                 ","US GOV PRINT OFF         ",,"77-78            "
"026","ANNUAL CYCLOPEDIA                                           ","APPELTON                 ","1889","78               "
"027","NOTES & QUERIES - PUBLICATION - LONDON,ENGLAND              ",,,"78/81/86         "
"028","ANNALS OF AM ACAD OF POLITICS & SOC SCIENCES                ",,,"79               "
"029","SETTLEMENT OF THE CT TOWNS                                  ","DEMING,DOROTHY           ","1933","79               "
"030","RECORDS OF THE COLONY OF NEW HAVEN 1638-1649                ","HOADLY,CHARLES J         ","1857","79               "
"031","LEASES IN WELLESVILLE - NY                                  ","ALLEGANY COURT HS        ","    ",
"032","DICT OF UNIVERSAL BIOGR                                     ","HYAMSON,ALBERT M         ","1916","81               "
"033","NY DAILY TRIBUNE                                            ","NEWSPAPER                ",,"110/111          "
"034","GAZETTE SCRAP BOOK-WYOMING CO PA                            ","                         ","    ",
"035","DAILY PALLADIUM - NEW HAVEN CT                              ","NEWSPAPER                ","    ",
"036","TOMBSTONE INSCRIPTIONS - WARREN CO NJ                       ","EASTON PA LIBR           ","1947","306              "
"037","CHURCH RECORD BEAKLEYVILLE BAPTIST CH - PA                  ",,"1944","306              "
"039","RECORDS OF SMITHFIELD CH(LUTH & REF) SHAWNEE PA             ","                         ","    ",
"040","COLUMBIAN REGISTER - NEW HAVEN CT                           ","NEWSPAPER                ",,"1815             "
"041","ATLANTIC COUNTY HISTORICAL SOC NJ YEARBOOK                  ","                         ","    ",
"042","KY ANCESTORS                                                ","KY HIST SOC              ",,"287-288          "
"043","RECORDS - LLOYDS OF LONDON - INSURED                        ","                         ","    ",
"044","TWENTIETH CENTURY BENCH & BAR OF PA                         ","                         ","1903",
"045","BENCH & BAR OF PA - ALLEGHENY CO                            ","                         ","1903",
"046","BIOGR ALBUM OF PROMINENT PENNSYLVANIANS                     ","                         ","1888",
"047","HISTORY OF STATE OF OH                                      ","WITTKE,CARL              ","1944",
"048","SOLDIERS OF AM REV BURIED IN OH                             ","DAR OF OHIO              ","1929",
"050","ACORN TO OAK, THE STORY OF THE DANVILLE/NY LIBRARY          ","CONKLIN,WM D             ",,"576-577          "
"051","PHILADELPHIA CITY DIRECTORY                                 ","AITKEN                   ",,"1906-1927        "
"052","ALLEG CO & ITS PEOPLE - CENTEN MEM HIST - NY                ","MINARD,JOHN S            ","1896","90               "
"053","AMERICAN CHEMICAL SOC - MEETING ATLANTIC CITY               ","AM CHEM SOC              ","1949","7                "
"054","AMERICAN CITY,THE                                           ",,,"125              "
"055","AMERICAN HISTORICAL ASSOC - ANN REP 1905                    ","US GOV PRINT OFF         ","1907","271              "
"056","AMERICAN MARRIAGE RECORDS BEFORE 1699                       ","CLEMENS,WM M             ","1926","50, 262          "
"057","AMERICAN MUSEUM                                             ","BONNEL,NATHANIEL         ",,"153              "
"058","AMERICAN PHOTOGRAPHY                                        ","MAGAZINE                 ",,"126              "
"059","AMER SOC OF CIVIL ENGINEERS - REGISTER                      ","AM SOC CIVIL ENGR        ","1945","5                "
"060","ANCESTORS & DESC OF HAVILAH & DORCAS G BUNNELL              ","ANDREWS,ADELE            ","1937","154-163          "
"061","ANCESTRY & POSTERITY OF MATTHEW CLARKSON 1664-1702          ","CRAINE,J ROBERT T        ","1971","1256-1263        "
"062","ASBURY CHURCH & ITS MINISINK INFLUENCE,TIOGA CO,NY          ","CAFFERTY,CHARLES         ","1943","380              "
"063","ATWATER HISTORY AND GENEALOGY                               ","ATWATER,FRANCIS          ","1901",
"064","BEACON, THE - TUCKERTON,NJ                                  ","NEWSPAPER                ",,"290/2135-36      "
"065","BIOGR DIRECTORY OF THE AMERICAN CONGRESS                    ","US GOV PRINT OFF         ","1928","1                "
"066","BIOGR ENCYCLOPEDIA OF NJ                                    ","GALAXY PUB CO            ","1877","940              "
"067","BIOGR & GENEAL HIST OF MORRIS & SUSSEX CO, NJ               ","LEWIS PUB CO             ","1899","382-6            "
"068","BONNELL'S MANUEL - FIRST ED.                                ","BONNELL,CLEMENT M        ","1941","125              "
"069","CAMDEN CITY & COUNTY DIRECTORY - NJ                         ","BOYD                     ",,"1897             "
"070","PHILADELPHIA CITY DIRECTORY                                 ","BOYD                     ",,"1906-1927        "
"071","BUNNELL FAMILY                                              ","BUNNELL,EVE BOLLE        ",,"483-506          "
"072","CAMDEN DEMOCRAT - NJ                                        ","NEWSPAPER                ",,"736              "
"073","CAMDEN MAIL - NJ                                            ","NEWSPAPER                ",,"736              "
"074","CAPE MAY COUNTY GAZETTE - NJ                                ","NEWSPAPER                ",,"746              "
"075","CAPE MAY CO NJ MAGAZ OF HISTORY & GENEALOGY                 ",,,"928              "
"076","CATAL OF NAMES OF EARLY PURITAN SETTLERS OF CONN.           ","HINMAN,ROYAL R           ","1852","262              "
"077","CENTURY & A HALF OF PITTSBURGH & HER PEOPLE                 ","JORDAN,JOHN W            ","1908","317-323          "
"078","CHARL.BRONTE, GEO.ELIOT, JANE AUSTIN,THEIR WORKS            ","BONNELL,HENRY H          ","1902","125/154          "
"079","CHESHIRE PRIVATE RECORD - CHESHIRE,CT                       ",,,"1644             "
"080","HADDON HEIGHTS & BARRINGTON,NJ DIRECTORY                    ","CLARK                    ",,"1898             "
"081","COLONIAL FAMILIES OF AMERICA                                ",,,"338              "
"082","COLONIAL & REVOLUTIONARY LINEAGES OF AMERICA                ","AM HIST CO               ","1946","264-269/342-349  "
"083","CT VITAL RECORDS - NEW HAVEN 1649-1850                      ","CT SOC FOUND & PA        ","1917","213-217          "
"084","CT VITAL RECORDS - NORWICH PART II                          ","HARTF SOC COL WAR        ","1913","213              "
"085","CORPORATIONS OF NJ THROUGH 1911                             ",,,"957              "
"086","DANSVILLE 1789-1902 - DANSVILLE,NY                          ","QUICK,F N                ",,"578-582          "
"087","DANSVILLE ADVERTISER,THE - NY                               ","NEWSPAPER                ",,"222-223          "
"088","DAUGHTERS OF THE AMERICAN COLONISTS                         ","NATL SOC OF D A C        ",,"334-338          "
"089","DAUGHTERS OF THE AM REV - PA SOC REGIS 1894-1930            ","D A R - PA SOC           ",,"387              "
"090","PHILADELPHIA CITY DIRECTORY                                 ","DAWES                    ",,"1906-1927        "
"091","DESCENDENTS OF DEACON SAMUEL POTTER 1671-1756               ","ALLEMAN,HELEN P          ","1975","1190-1191        "
"092","PHILADELPHIA CITY DIRECTORY                                 ","DESILVER                 ",,"1906-1927        "
"093","DIAL, THE                                                   ",,,"154              "
"094","DICT OF ENGLAND & WELSH SURNAMES                            ","BARDSLEY,CHARLES         ","1901","23               "
"095","DICT OF NATIONAL BIOGR                                      ","OXFORD UNIV PRESS        ","1908","926J-K           "
"096","DIR OF ANCESTRAL HEADS OF NEW ENG FAM 1620-1700             ","HOLMES,FRANK R           ","1923","262              "
"097","DOW, BALL, EATON & ALLIED FAMILIES                          ","DOW,GRACE ANN            ","1943","307-312          "
"098","EARLY FAMILIES OF WALLINGFORD CT                            ","DAVIS,CHARLES H S        ",,"1191/1253-1255   "
"099","ENCYCLOPEDIA OF HERALDRY                                    ","BURKE,JOHN ET AL         ",,"29               "
"100","ENCYCLOPEDIA OF PA BIOGR                                    ","JORDAN,JOHN W            ","1919","296-299          "
"101","ETUDE                                                       ",,,"126              "
"102","EVENING JOURNAL - WILMINGTON,DE                             ","NEWSPAPER                ",,"523/644/751      "
"103","FAMILIES OF ANCIENT NEW HAVEN,CT-LATER WAS B888             ","JACOBUS,DONALD L         ","1923","271/272-277/286  "
"104","FAMILY GENEALOGIES                                          ","POWERS,MARGARET F        ","1949","1264-1265        "
"105","FAMILY REC OR GENEAL OF FIRST SET PASSAIC VAL,NJ            ","LITTEL,JOHN              ","1851","1183-1187        "
"106","GAZETTEER OF THE STATE OF NEW YORK                          ","DISTURNELL               ","1842","205              "
"107","GENEALOGICAL DICT OF FIRST SETTLERS OF NEW ENGLAND          ","SAVAGE,JAMES             ","1860","262              "
"108","GENEALOGICAL DIRECTORY,THE                                  ","MARVIN,GEORGE R          ","1931","94               "
"109","GENEALOGICAL & FAMILY HISTORY OF STATE OF CT                ","LEWIS HIST PUB CO        ","1911","206-212          "
"110","GENEALOGICAL MAGAZINE OF NEW JERSEY,THE                     ",,,"361-3/1191/1266-9"
"111","GENEALOGICAL PERIODICAL ANNUAL INDEX                        ",,"1967","270              "
"112","GENEALOGICAL SOCIETY OF PA - COLLECTIONS                    ",,,"300-304/326      "
"113","GENEALOGIES OF STRANAHAN,JOSSELYN,FITCH & DOW FAM           ",,"1868","301-304          "
"114","GENEAL OF BONNELL FAM REL TO GIBBY DESCENDENTS              ","GIBBY,EDGAR MARSH        ",,"1005-1018        "
"115","GENEAL OF LEETE FAMILY                                      ","DUDLEY,JAMES H           ","1863","57-59            "
"116","GENEAL OF SYLVANUS BRANCH OF BONNELL FAMILY                 ","BONNELL,ALBERT           ","1904","973-1000         "
"117","GLOUCESTER CO,NJ MARRIAGES                                  ","CRAIG,H STANLEY          ",,"1896             "
"118","PHILADELPHIA CITY DIRECTORY                                 ","GOPSILL                  ",,"1906-1927        "
"119","HARPERS WEEKLY                                              ",,,"126              "
"120","HARRIS FAMILY 1630-1909                                     ","HARRIS,DWIGHT J          ",,"1191             "
"121","HARTFORD COURANT,THE - CT                                   ","NEWSPAPER                ",,"205              "
"122","HISTORICAL GAZETTEER OF TIOGA CO,NY 1785-1888               ","GAY,W B                  ",,"278/279/280/281  "
"123","HISTORICAL & GENEALOGICAL MISCELLANY                        ","STILLWELL,JOHN E         ","1970","1129             "
"124","HISTORY OF ALLEGANY CO, NY                                  ",,,"222              "
"125","HISTORY OF CAMERON CO,PA                                    ","                         ","    ",
"126","HISTORY OF COS MCKEAN,ELK,CAMERON & POTTER,PA               ","BEERS,J H & CO           ","1890","113/194          "
"127","HISTORY OF ESSEX & HUDSON COS,NJ                            ","SHAW,WM H                ","1884","1896/B729-730    "
"128","HISTORY & GENEAL OF FAMILIES OF OLD FAIRFIELD,CT            ","JACOBUS,DONALD L         ",,"394              "
"129","HISTORY OF GERMAN REFORMED CH,CHAMBERSBORO,PA               ","BONNELL,W WILSON         ",,"154              "
"130","HISTORY OF LUZERNE,LACKAWANNA & WYOMING COS,PA              ","MUNSELL,W W & CO         ","1880","304              "
"131","HISTORY OF MONMOUTH & OCEAN COS,NJ                          ","SALTER,EDWIN             ","1890","1906             "
"132","HISTORY OF MORRIS CO,NJ 1739                                ","MUNSELL,W W & CO         ","1882","1896/B725        "
"133","HISTORY OF ST CHARLES,MONTGOMERY & WARREN COS,MO            ",,"1885","815-816          "
"134","HISTORY OF SUSQUEHANNA CO,PA                                ","BLACKMAN,EMILY C         ","1873","509              "
"135","HISTORY OF SUSSEX & WARREN COS,NJ                           ","SNELL,JAMES P            ","1881","1556-9/1560-1    "
"136","HISTORY OF UNION CO,NJ 1664-1923                            ","LEWIS PUB CO             ","1923","1895             "
"137","PHILADELPHIA CITY DIRESTORY                                 ","HOGAN,EDMOND             ",,"1906-1927        "
"138","HOME NEWS,THE - NEW BRUNSWICK,NJ                            ","NEWSPAPER                ",,"1928             "
"139","CAMDEN DIRECTORY - CAMDEN,NJ                                ","HOWE                     ",,"736/1896/1897    "
"140","HYGIA                                                       ",,,"126              "
"141","INDEPENDENT DEMOCRAT -                                      ","NEWSPAPER                ",,"278/279/281      "
"142","INDEX OF OBITUARIES IN BOSTON NEWSPAPERS 1704-1800          ","BOSTON ATHENAEUM         ","1968","301              "
"143","INDEX OF REVOLUTIONARY WAR PENSION APPLICATIONS             ","NATIONAL GEN SOC         ","1976","270              "
"144","INDEX OF WILLS IN NEW JERSEY PRIOR TO 1901                  ",,,"941/934/953-4    "
"145","INSTITUTE OF AMERICAN GENEAL                                ",,,"270              "
"146","JAYNE FAMILY                                                ","DULL,LILLIAN JAYN        ",,"374-376          "
"147","KINGSBURY & ALLIED FAMILIES                                 ",,,"313-316          "
"148","PHILADELPHIA CITY DIRECTORY                                 ","KITE                     ",,"1906-1927        "
"149","LACEY TOWNSHIP PEOPLE & PROGRESS - OCEAN CO,NJ              ","TURP,RALPH K             ","1978","1902-1903        "
"150","LAMP                                                        ",,,"125              "
"151","COURT OF OYER & TERMINER MINUTES - ALLEGANY CO,NY           ",,,"203              "
"152","MACK GENEALOGY                                              ","MARTIN,SOPHIA            ","1903","361              "
"153","PHILADELPHIA CITY DIRECTORY                                 ","MACPHERSON               ",,"1906-1927        "
"154","PHILADELPHIA CITY DIRECTORY                                 ","MCCARTY & DAVIS          ",,"1906-1927        "
"155","PHILADELPHIA CITY DIRECTORY                                 ","MCELROY                  ",,"1906-1927        "
"156","NAME & FAMILY OF BUNNELL                                    ","MEDIA RES BUR            ",,"83-85/260A-260I  "
"157","MUNSON RECORD 1637-1887                                     ","MUNSON,MYRON A           ","1896","361              "
"158","MYSTIC ISLANDS SEA BREEZE - NJ                              ","NEWSPAPER                ",,"353              "
"159","DAUGHTERS OF THE AMERICAN REVOLUTION MAGAZINE               ","D A R                    ",,"817              "
"160","NATIONAL INTELLIGENCER,MARRIAGES & DEATHS 1800-20           ",,,"1271             "
"161","NEW HAVEN COLONY HISTORICAL SOCIETY - PAPERS                ",,"1900","213              "
"162","NJ ARCHIVES - FIRST SERIES                                  ",,,"761-770/795-800  "
"163","NJ GENESIS - ESTABLISHED 1953                               ",,,"810/11           "
"164","NJ HISTORICAL SOCIETY - PROCEEDINGS                         ",,,"928-933          "
"165","NJ IN 1793                                                  ","NORTON,JAMES S           ","1973","802              "
"166","INDEX OF WILLS - OFFICE OF SEC OF ST OF NJ                  ",,,"765              "
"167","NJ REGISTER OF VOL IN US SERVICE IN 1863                    ","LYON,JOHN H              ","1863","941              "
"168","NEW LONDON RECORD - OH                                      ","NEWSPAPER                ",,"901              "
"169","4 CO                                                        ",,,"278/280          "
"170","NORTH AMERICAN REVIEW                                       ",,,"125              "
"171","NORTHWESTERN NJ - A HISTORY                                 ","LEWIS HIST PUB CO        ","1927","933/936-7        "
"172","OATHS OF ALLEGIANCE,NORTHAMPTON CO,PA 1777-1780             ",,,"306              "
"173","OFFICIAL REG OF OFFICERS & MEN OF NJ IN REV WAR             ","STRYKER,WM S             ","1872","954-955          "
"174","OLEAN TIMES -NY                                             ","NEWSPAPER                ",,"1409/1410/2136   "
"175","OVERLAND                                                    ",,,"125              "
"176","OWEGO GAZETTE -NY                                           ","NEWSPAPER                ",,"278/280          "
"177","PARISH REC OF ST JOHN'S EVANG LUTH CH EASTON,PA             ","EASTON PA LIBR           ","1937","306              "
"178","PAPERS OF GOVERNOR L MORRIS - NJ                            ","NJ HIST SOC              ",,"928              "
"179","PASSAIC VALLEY,NJ                                           ","WHITEHEAD,JOHN           ","1901","1896             "
"180","PASTORAL PSYCHIATRY                                         ","BONNELL,JOHN S           ","1938","127              "
"181","PHILADELPHIA CITY DIRECTORY                                 ","PAXTON                   ",,"1906-1927        "
"182","PA ARCHIVES SERIES                                          ",,,"1898             "
"183","PA MAGAZINE OF HISTORY & BIOGRAPHY                          ","HIST SOC OF PA           ",,"1899/1900/1901   "
"184","PENSION LIST OF 1818                                        ","GALES & SEATON           ","1955","270              "
"185","PHILADELPHIA INQUIRER                                       ","NEWSPAPER                ",,"172/205          "
"186","PLANTERS OF THE COMMONWEALTH 1620-1640                      ","BANKS,CHARLES E          ","1930","263              "
"187","CAMDEN DIRECTORY - CAMDEN,NJ                                ","POLK                     ",,"1897             "
"188","PRESIDENTS OF AMERICAN COLLEGES & UNIVERSITIES              ","COOK,R C                 ","1933","4                "
"189","PRINCETON IN THE WORLD WAR 1                                ",,,"957              "
"190","PRINCETON REVIEW                                            ",,,"154              "
"191","READERS DIGEST                                              ","MAGAZINE                 ",,"205/746          "
"192","PHILADELPHIA CITY DIRECTORY                                 ","ROBINSON                 ",,"1906-1927        "
"193","RURAL PA IN THE VICINITY OF PHILADELPHIA                    ","HOTCHKIN,S F             ","1897","1899             "
"194","RURAL REPOSITORY 1828-51 HUDSON,NY                          ","BUNNELL,F H              ",,"153              "
"195","ST CHARLES JOURNAL - MO                                     ","NEWSPAPER                ",,"1736             "
"196","SALEM CO,NJ MARRIAGE RECORDS                                ","CRAIG,H STANLEY          ","1928","1896             "
"197","SATURDAY EVENING POST                                       ","MAGAZINE                 ",,"126              "
"198","SMITH,GRANT & IRON FAMILIES                                 ","HOOK,JAMES W             ","1955","1906             "
"199","SOCIETY OF MAYFLOWER DESCENDENTS,GENERAL                    ","SOC MAYF DESC            ",,"270              "
"200","SOCIETY OF THE CINCINNATTI NJ 1800                          ","SOC OF THE CIN           ",,"1534-6/1543-4    "
"201","SOCIETY OF PLASTIC ENGINEERS - MEMB ROSTER                  ",,"1971","286              "
"202","SOMERSET COUNTY,NJ HISTORICAL SOCIETY - QUARTERLY           ",,,"933/935          "
"203","NJ ARCHIVES - SECOND SERIES                                 ",,,"1779-1782        "
"204","SONS OF THE AMERICAN REVOLUTION - YEARBOOK                  ","NJ SOC SAR               ","1910","957              "
"205","SONS OF THE AMERICAN REVOLUTION -                           ","PA SOC SAR               ","1955","1899             "
"206","SOUTH JERSEY - A HISTORY  1664-1924                         ","LEWIS HIST PUB CO        ","1924","938-939          "
"207","SOUTHERN QUARTERLY REVIEW                                   ",,,"154              "
"208","SPORTS ILLUSTRATED                                          ","MAGAZINE                 ",,"562              "
"209","PHILADELPHIA CITY DIRECTORY                                 ","STAFFORD                 ",,"1906-1927        "
"210","STORY OF NJ                                                 ","LEWIS HIST PUB CO        ","1945","934              "
"211","SUNSET                                                      ",,,"125/126          "
"212","SUSQUEHANNA REGISTER - PA                                   ","NEWSPAPER                ",,"279              "
"213","THESE NAMES OF OURS - A BOOK OF SURNAMES                    ","DELLQUEST,AUGUSTU        ","1938","30               "
"214","TRUTH & LIBERTY - SALT LAKE CITY,UT                         ","NEWSPAPER                ",,"325              "
"215","US AIR FORCE REGISTER                                       ",,"1951","153              "
"216","UNIVERSITY OF PA - ALUMNI CATALOG                           ",,"1917","1899             "
"217","WAR RECORDS - NEW YORK STATE - ALLEGANY CO                  ",,"1919","203              "
"218","WELLSVILLE DAILY REPORTER - NY                              ","NEWSPAPER                ",,"1409             "
"219","WEST JERSEY PRESS - CAMDEN,NJ                               ","NEWSPAPER                ",,"736              "
"220","WESTERN STAR - LEBANON,OH                                   ","NEWSPAPER                ",,"1931             "
"221","PHILADELPHIA CITY DIRECTORY                                 ","WHITELEY                 ",,"1906-1927        "
"222","WHO'S WHO IN ENGINEERING                                    ","DOWN,WINFIELD ETL        ","1931","3                "
"223","WHO'S WHO IN THE EAST                                       ","MARQUIS,A N CO           ",,"6                "
"224","PHILADELPHIA CITY DIRECTORY                                 ","WILSON                   ",,"1906-1927        "
"225","WORLD BIOGRAPHY - 4TH EDITION                               ","INST FOR RES BIOG        ","1934","4                "
"226","WORLD'S GREAT LITERATURE                                    ","BONNELL,JOHN K           ","1919","127              "
"227","WORLD WAR II HONOR LIST OF DEAD & MISSING - NJ              ",,,"956              "
"228","RECORD OF OFFICERS & MEN OF NJ IN CIV WAR 1861-5            ","STRYKER,WM               ","1876","955-956          "
"229","PHILADELPHIA CITY DIRECTORY                                 ","WHITE,FRANCIS            ",,"1906-1927        "
"230","BERGEN CO,NJ - MARRIAGE RECORDS                             ","TRENTON ST LIBR          ",,"1896             "
"231","HISTORY OF SUSQUEHANNA CO,PA,CENTENNIAL                     ","STOCKER                  ","1887",
"232","DUTY OF LOVE,A                                              ","BUNNELL,RAYMOND L        ","1958","1909-1914        "
"233","RECORD OF OLD DUTCH REFORMED CH WALPACK NJ037               ","                         ","    ",
"234","COMM BIOGR REC OF SUSQ,WAYNE,PIKE & MONROE CO,PA            ","BEERS,J H & CO           ","1900",
"235","HISTORY OF WAYNE,PIKE & MONROE CO,PA                        ","MATHEWS,ALFRED           ","1886",
"236","DIARY & JOURNAL                                             ","MCNEMAR,RICHARD          ","    ",
"237","NY GENEALOGICAL & BIOGRAPHICAL RECORD                       ","NY GEN.& BIOG.SOC        ","    ",
"238","MARIETTA AM ED OF THE PARKERSBURGH NEWS - WV                ","NEWSPAPER                ","    ",
"239","REED GENEAL 1635 T0 1902                                    ","READE,WILLIAM            ","1901",
"240","OLD RECORDS OF FITCHBURG, MA                                ","                         ","    ",
"241","MIDDLETOWN UPPER HOUSES - CT                                ","ADAMS,CHARLES C          ","1908",
"242","CAPE MAY CO-NJ MARRIAGE RECORDS                             ","CRAIG,H.S.               ","1931",
"243","BUNNELL FAMILY HERITAGE BOOK, THE                           ","BAILEY,BEATRICE          ","1981","2799             "
"244","BUNNELL FOUNDATION NEWSLETTER V2-N1-JUN/AUG                 ","360680 DAVID BUNNELL     ","1983",
"245","DAUGHTERS OF THE AM REV PATRIOT INDEX (8050-1990)           ","D A R                    ","1966",
"246","ANCESTRY OF JEREMY CLARKE OF RI & BUNYAN GENEALOGY          ","JUSTICE,ALFRED R         ","    ",
"247","HISTORY OF WARREN CO - OH                                   ","BEERS,W H & CO           ","1882",
"248","CUMBERLAND CO-NJ MARRIAGES                                  ","CRAIG,H.S.               ","    ",
"249","MA VITAL RECORDS TO 1850                                    ","                         ","    ",
"250","REGISTER OF REV HELIG,BUCKS CO,PA 1861-1925                 ","                         ","    ",
"251","ABSTRACT OF PROBATE RECORDS, STAMFORD,CT                    ","MEAD,SPENCER             ","    ",
"252","OH RECORDS & PIONEER FAMILIES QUARTERLY PUBLICAT            ","OH GEN SOC               ","    ",
"253","BUTLER CO, OH CEMETERY RECORDS                              ","CRAIG,R                  ","1963",
"254","TRAVELS AND ADVENTURES - PUBL PALMYRA,NY                    ","BUNNELL,DAVID C          ","1831",
"255","SOLDIARY OF WV                                              ","LEWIS,VIRGIL A           ","1972",
"256","HISTORY OF EDGAR COUNTY IL                                  ","LEBARON,WM JR CO         ","1879",
"257","POPULAR PHOTOGRAPHY                                         ","MAGAZINE                 ","    ",
"258","WESTERN SPY & HAMILTON GAZETTE - HAMILTON CO OH             ","NEWSPAPER                ","    ",
"259","PIONEER OHIO NEWSPAPERS 1793 - 1810                         ","GREEN,KAREN MAUER        ","1986",
"260","FREEMAN'S JOURNAL - OH                                      ","NEWSPAPER                ","    ",
"261","EVENING GAZETTE - WORCESTER MA                              ","NEWSPAPER                ","    ",
"262","BUNNELL HISTORY                                             ","BALDWIN,HOMER E          ","    ",
"263","BUNNELL HOUSE - WINONA MN                                   ","WINONA CO HIST SO        ","    ",
"264","HISTORY OF CENTRE & CLINTON COS PA                          ","LINN,JOHN B              ","1883",
"265","FISHAWACK PAPERS                                            ","KEISLER,MARGARET         ","1979",
"266","NJ GAZETTE                                                  ","NEWSPAPER                ","    ",
"267","HISTORY OF ELIZABETH NJ                                     ","HATFIELD                 ","    ",
"268","PERSONS WHO TOOK OATH OF ALLEGIENCE IN BERKS CO PA          ","                         ","    ",
"269","WHO'S WHO IN PA - VOL 1                                     ","                         ","1939",
"270","PA GAZETTE                                                  ","NEWSPAPER                ","    ",
"271","CEMETERIES IN PIKE CO PA                                    ","GEN SOC PA               ","    ",
"272","HISTORY OF ASHTABULA CO OH                                  ","WILLIAMS BROTHERS        ","1878",
